-----NEW TEST-------
frequency:    2.388900 Hz
start time    246103 ms
stop time     250289 ms
Sample Prd    2 ms
Number Cylces 10 
N_sample,fluidInVoltage,fluidOutVoltage,pressureCommanded,pressureError,pressure
370,0,250,250.75,-26.25,277
371,0,183,256.65,-18.35,275
372,0,154,262.58,-15.42,278
373,0,74,268.53,-7.47,276
374,0,4,274.51,-0.49,275
375,64,0,280.50,6.50,274
376,114,0,286.50,11.50,275
377,185,0,292.50,18.50,274
378,215,0,298.50,21.50,277
379,250,0,304.50,28.50,276
380,250,0,310.48,34.48,276
381,250,0,316.45,38.45,278
382,250,0,322.39,41.39,281
383,250,0,328.31,47.31,281
384,250,0,334.19,52.19,282
385,250,0,340.03,58.03,282
386,250,0,345.83,59.83,286
387,250,0,351.57,65.57,286
388,250,0,357.27,71.27,286
389,250,0,362.90,72.90,290
390,250,0,368.47,76.47,292
391,250,0,373.97,82.97,291
392,250,0,379.40,77.40,302
393,250,0,384.74,84.74,300
394,250,0,390.00,87.00,303
395,250,0,395.17,89.17,306
396,250,0,400.25,92.25,308
397,250,0,405.23,96.23,309
398,250,0,410.11,99.11,311
399,250,0,414.87,101.87,313
400,250,0,419.53,108.53,311
401,250,0,424.07,110.07,314
402,250,0,428.49,111.49,317
403,250,0,432.79,115.79,317
404,250,0,436.96,116.96,320
405,250,0,441.00,120.00,321
406,250,0,444.90,120.90,324
407,250,0,448.67,123.67,325
408,250,0,452.29,121.29,331
409,250,0,455.77,124.77,331
410,250,0,459.10,126.10,333
411,250,0,462.27,123.27,339
412,250,0,465.30,129.30,336
413,250,0,468.16,129.16,339
414,250,0,470.87,128.87,342
415,250,0,473.41,131.41,342
416,250,0,475.79,134.79,341
417,250,0,478.00,136.00,342
418,250,0,480.05,137.05,343
419,250,0,481.92,133.92,348
420,250,0,483.62,138.62,345
421,250,0,485.15,139.15,346
422,250,0,486.51,137.51,349
423,250,0,487.68,137.68,350
424,250,0,488.68,137.68,351
425,250,0,489.51,133.51,356
426,250,0,490.15,137.15,353
427,250,0,490.61,133.61,357
428,250,0,490.90,131.90,359
429,250,0,491.00,127.00,364
430,250,0,490.92,130.92,360
431,250,0,490.67,129.67,361
432,250,0,490.23,131.23,359
433,250,0,489.61,122.61,367
434,250,0,488.82,120.82,368
435,250,0,487.84,118.84,369
436,250,0,486.69,113.69,373
437,250,0,485.37,113.37,372
438,250,0,483.86,112.86,371
439,250,0,482.19,106.19,376
440,250,0,480.34,108.34,372
441,250,0,478.32,101.32,377
442,250,0,476.13,99.13,377
443,250,0,473.78,96.78,377
444,250,0,471.26,91.26,380
445,250,0,468.58,87.58,381
446,250,0,465.74,84.74,381
447,250,0,462.74,79.74,383
448,250,0,459.58,74.58,385
449,250,0,456.28,69.28,387
450,250,0,452.82,66.82,386
451,250,0,449.22,60.22,389
452,250,0,445.48,56.48,389
453,250,0,441.59,49.59,392
454,250,0,437.58,39.58,398
455,250,0,433.43,35.43,398
456,250,0,429.15,33.15,396
457,250,0,424.74,26.74,398
458,250,0,420.22,26.22,394
459,145,0,415.58,14.58,401
460,108,0,410.83,10.83,400
461,39,0,405.97,3.97,402
462,0,29,401.00,-3.00,404
463,0,60,395.94,-6.06,402
464,0,122,390.78,-12.22,403
465,0,144,385.54,-14.46,400
466,0,227,380.20,-22.80,403
467,0,250,374.79,-25.21,400
468,0,250,369.30,-30.70,400
469,0,250,363.74,-39.26,403
470,0,250,358.12,-44.88,403
471,0,250,352.43,-44.57,397
472,0,250,346.69,-51.31,398
473,0,250,340.90,-48.10,389
474,0,250,335.07,-52.93,388
475,0,250,329.19,-56.81,386
476,0,250,323.28,-57.72,381
477,0,250,317.34,-63.66,381
478,0,250,311.38,-70.62,382
479,0,250,305.40,-71.60,377
480,0,250,299.40,-81.60,381
481,0,250,293.40,-83.60,377
482,0,250,287.40,-85.60,373
483,0,250,281.40,-92.60,374
484,0,250,275.41,-97.59,373
485,0,250,269.43,-100.57,370
486,0,250,263.47,-106.53,370
487,0,250,257.54,-111.46,369
488,0,250,251.63,-111.37,363
489,0,250,245.76,-122.24,368
490,0,250,239.94,-126.06,366
491,0,250,234.16,-129.84,364
492,0,250,228.43,-128.57,357
493,0,250,222.75,-132.25,355
494,0,250,217.14,-138.86,356
495,0,250,211.60,-143.40,355
496,0,250,206.12,-144.88,351
497,0,250,200.72,-151.28,352
498,0,250,195.41,-156.59,352
499,0,250,190.18,-160.82,351
