-----NEW TEST-------
frequency:    3.000000 Hz
start time    256176 ms
stop time     259509 ms
Sample Prd    2 ms
Number Cylces 10 
N_sample,fluidInVoltage,fluidOutVoltage,pressureCommanded,pressureError,pressure
598,250,0,483.80,118.80,365
599,250,0,481.66,114.66,367
600,250,0,479.25,108.25,371
601,250,0,476.57,102.57,374
602,250,0,473.62,100.62,373
603,250,0,470.42,96.42,374
604,250,0,466.96,90.96,376
605,250,0,463.25,88.25,375
606,250,0,459.30,82.30,377
607,250,0,455.11,76.11,379
608,250,0,450.68,68.68,382
609,250,0,446.03,66.03,380
610,250,0,441.16,60.16,381
611,250,0,436.07,52.07,384
612,250,0,430.78,42.78,388
613,250,0,425.29,37.29,388
614,250,0,419.61,32.61,387
615,187,0,413.74,18.74,395
616,157,0,407.70,15.70,392
617,34,0,401.50,3.50,398
618,31,0,395.13,3.13,392
619,0,113,388.62,-11.38,400
620,0,160,381.97,-16.03,398
621,0,228,375.20,-22.80,398
622,0,250,368.30,-30.70,399
623,0,250,361.29,-37.71,399
624,0,250,354.18,-42.82,397
625,0,250,346.98,-51.02,398
626,0,250,339.71,-53.29,393
627,0,250,332.36,-57.64,390
628,0,250,324.96,-63.04,388
629,0,250,317.50,-66.50,384
630,0,250,310.01,-75.99,386
631,0,250,302.49,-79.51,382
632,0,250,294.96,-85.04,380
633,0,250,287.42,-93.58,381
634,0,250,279.88,-101.12,381
635,0,250,272.36,-106.64,379
636,0,250,264.87,-112.13,377
637,0,250,257.42,-117.58,375
638,0,250,250.01,-122.99,373
639,0,250,242.66,-132.34,375
640,0,250,235.38,-137.62,373
641,0,250,228.18,-142.82,371
642,0,250,221.06,-146.94,368
643,0,250,214.05,-153.95,368
644,0,250,207.15,-157.85,365
645,0,250,200.36,-165.64,366
646,0,250,193.71,-172.29,366
647,0,250,187.19,-169.81,357
648,0,250,180.82,-176.18,357
649,0,250,174.61,-182.39,357
650,0,250,168.56,-188.44,357
651,0,250,162.68,-192.32,355
652,0,250,156.99,-198.01,355
653,0,250,151.49,-200.51,352
654,0,250,146.19,-204.81,351
655,0,250,141.09,-209.91,351
656,0,250,136.21,-211.79,348
657,0,250,131.54,-216.46,348
658,0,250,127.11,-220.89,348
659,0,250,122.90,-220.10,343
660,0,250,118.94,-225.06,344
661,0,250,115.22,-228.78,344
662,0,250,111.75,-232.25,344
663,0,250,108.53,-233.47,342
664,0,250,105.57,-238.43,344
665,0,250,102.88,-237.12,340
666,0,250,100.45,-240.55,341
667,0,250,98.30,-238.70,337
668,0,250,96.42,-240.58,337
669,0,250,94.81,-241.19,336
670,0,250,93.49,-240.51,334
671,0,250,92.44,-239.56,332
672,0,250,91.68,-241.32,333
673,0,250,91.20,-235.80,327
674,0,250,91.00,-238.99,330
675,0,250,91.09,-235.91,327
676,0,250,91.47,-232.53,324
677,0,250,92.12,-229.88,322
678,0,250,93.06,-226.94,320
679,0,250,94.28,-225.72,320
680,0,250,95.78,-222.22,318
681,0,250,97.56,-221.44,319
682,0,250,99.61,-216.39,316
683,0,250,101.94,-215.06,317
684,0,250,104.53,-211.47,316
685,0,250,107.39,-207.61,315
686,0,250,110.51,-202.49,313
687,0,250,113.89,-198.11,312
688,0,250,117.51,-194.49,312
689,0,250,121.39,-187.61,309
690,0,250,125.50,-185.50,311
691,0,250,129.85,-179.15,309
692,0,250,134.43,-173.57,308
693,0,250,139.23,-167.77,307
694,0,250,144.25,-160.75,305
695,0,250,149.48,-155.52,305
696,0,250,154.91,-147.09,302
697,0,250,160.53,-138.47,299
698,0,250,166.33,-135.67,302
699,0,250,172.32,-124.68,297
700,0,250,178.47,-118.53,297
701,0,250,184.78,-111.22,296
702,0,250,191.25,-104.75,296
703,0,250,197.85,-98.15,296
704,0,250,204.59,-88.41,293
705,0,250,211.45,-78.55,290
706,0,250,218.42,-70.58,289
707,0,250,225.50,-62.50,288
708,0,250,232.67,-54.33,287
709,0,250,239.92,-49.08,289
710,0,250,247.24,-37.76,285
711,0,250,254.63,-32.37,287
712,0,239,262.07,-23.93,286
713,0,154,269.55,-15.45,285
714,0,69,277.06,-6.94,284
715,15,0,284.59,1.59,283
716,101,0,292.13,10.13,282
717,116,0,299.67,11.67,288
718,250,0,307.19,25.19,282
719,250,0,314.70,31.70,283
720,250,0,322.17,37.17,285
721,250,0,329.59,43.59,286
722,250,0,336.96,49.96,287
723,250,0,344.26,56.26,288
724,250,0,351.49,62.49,289
725,250,0,358.64,66.64,292
726,250,0,365.68,73.68,292
727,250,0,372.62,75.62,297
728,250,0,379.45,76.45,303
729,250,0,386.15,87.15,299
730,250,0,392.71,88.71,304
731,250,0,399.13,95.13,304
732,250,0,405.39,98.39,307
733,250,0,411.50,100.50,311
734,250,0,417.43,106.43,311
735,250,0,423.18,112.18,311
736,250,0,428.74,113.74,315
737,250,0,434.11,120.11,314
738,250,0,439.28,124.28,315
739,250,0,444.23,124.23,320
740,250,0,448.97,128.97,320
741,250,0,453.48,131.48,322
742,250,0,457.76,126.76,331
743,250,0,461.80,136.80,325
744,250,0,465.60,136.60,329
745,250,0,469.15,134.15,335
746,250,0,472.45,139.45,333
747,250,0,475.50,139.50,336
748,250,0,478.27,140.27,338
749,250,0,480.79,140.79,340
750,250,0,483.03,141.03,342
751,250,0,485.00,142.00,343
752,250,0,486.70,141.70,345
753,250,0,488.11,145.11,343
754,250,0,489.25,144.25,345
755,250,0,490.10,142.10,348
756,250,0,490.67,142.67,348
757,250,0,490.96,139.96,351
758,250,0,490.97,138.97,352
759,250,0,490.69,136.69,354
760,250,0,490.12,136.12,354
761,250,0,489.27,137.27,352
762,250,0,488.14,133.14,355
763,250,0,486.73,127.73,359
764,250,0,485.05,121.05,364
765,250,0,483.08,117.08,366
766,250,0,480.85,115.85,365
767,250,0,478.34,109.34,369
768,250,0,475.57,108.57,367
769,250,0,472.53,101.53,371
770,250,0,469.24,96.24,373
771,250,0,465.69,91.69,374
772,250,0,461.90,84.90,377
773,250,0,457.86,84.86,373
774,250,0,453.59,75.59,378
775,250,0,449.08,71.08,378
776,250,0,444.35,64.35,380
777,250,0,439.40,57.40,382
778,250,0,434.24,51.24,383
779,250,0,428.88,45.88,383
780,250,0,423.32,40.32,383
781,250,0,417.57,32.57,385
782,236,0,411.65,23.65,388
783,115,0,405.55,11.55,394
784,82,0,399.29,8.29,391
785,0,41,392.87,-4.13,397
