-----NEW TEST-------
frequency:    3.000000 Hz
start time    144172 ms
stop time     147505 ms
Sample Prd    2 ms
Number Cylces 10 
N_sample,fluidInVoltage,fluidOutVoltage,pressureCommanded,pressureError,pressure
322,0,250,182.71,-169.29,352
323,0,250,176.45,-175.55,352
324,0,250,170.35,-180.65,351
325,0,250,164.43,-186.57,351
326,0,250,158.68,-192.32,351
327,0,250,153.12,-193.88,347
328,0,250,147.76,-200.24,348
329,0,250,142.60,-203.40,346
330,0,250,137.65,-208.35,346
331,0,250,132.92,-213.08,346
332,0,250,128.41,-217.59,346
333,0,250,124.14,-221.86,346
334,0,250,120.10,-221.90,342
335,0,250,116.31,-227.69,344
336,0,250,112.76,-229.24,342
337,0,250,109.47,-233.53,343
338,0,250,106.43,-231.57,338
339,0,250,103.66,-233.34,337
340,0,250,101.15,-238.85,340
341,0,250,98.92,-240.08,339
342,0,250,96.95,-241.05,338
343,0,250,95.27,-241.73,337
344,0,250,93.86,-240.14,334
345,0,250,92.73,-241.27,334
346,0,250,91.88,-235.12,327
347,0,250,91.31,-240.69,332
348,0,250,91.03,-238.97,330
349,0,250,91.04,-232.96,324
350,0,250,91.33,-233.67,325
351,0,250,91.90,-230.10,322
352,0,250,92.75,-228.25,321
353,0,250,93.89,-227.11,321
354,0,250,95.30,-226.70,322
355,0,250,97.00,-221.00,318
356,0,250,98.97,-221.03,320
357,0,250,101.21,-214.79,316
358,0,250,103.73,-215.27,319
359,0,250,106.50,-208.50,315
360,0,250,109.55,-203.45,313
361,0,250,112.85,-199.15,312
362,0,250,116.40,-194.60,311
363,0,250,120.20,-192.80,313
364,0,250,124.24,-185.76,310
365,0,250,128.52,-180.48,309
366,0,250,133.03,-176.97,310
367,0,250,137.77,-172.23,310
368,0,250,142.72,-162.28,305
369,0,250,147.89,-157.11,305
370,0,250,153.26,-150.74,304
371,0,250,158.82,-147.18,306
372,0,250,164.57,-140.43,305
373,0,250,170.50,-134.50,305
374,0,250,176.61,-121.39,298
375,0,250,182.87,-112.13,295
376,0,250,189.29,-106.71,296
377,0,250,195.85,-101.15,297
378,0,250,202.55,-92.45,295
379,0,250,209.38,-84.62,294
380,0,250,216.32,-75.68,292
381,0,250,223.36,-67.64,291
382,0,250,230.51,-58.49,289
383,0,250,237.74,-52.26,290
384,0,250,245.04,-41.96,287
385,0,250,252.41,-36.59,289
386,0,250,259.83,-29.17,289
387,0,186,267.30,-18.70,286
388,0,111,274.81,-11.19,286
389,0,16,282.33,-1.67,284
